Case ID,Activity,Start Timestamp,creditscore,net_promotor_score,rate_charged,duration,Resource,outcome,stopcode,Activity_verb,Activity_Dec,Activity_comb,Activity_code
3,Registration,2014/07/23 23:49:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
3,Basic Check,2014/07/23 23:56:00.833,-1.0,-1.0,-1.0,120.0,Sarah,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Sarah,check_basic
3,Initiate Low Application Check,2014/07/24 03:58:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
3,Check Medical History,2014/07/24 14:27:00.833,-1.0,-1.0,-1.0,66180.0,Anne,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Anne,check_medical
3,Check Insurance History,2014/07/24 22:14:00.833,261.0,-1.0,-1.0,126420.0,Marc,<NO_DESC>,none,check,insurance,check_insurance_Marc_none,check_insurance
3,Send Notification,2014/07/26 13:42:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
3,Archive,2014/07/26 15:58:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
4,Registration,2014/11/15 03:46:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
4,Basic Check,2014/11/15 04:01:00.833,-1.0,-1.0,-1.0,60.0,Pete,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Pete,check_basic
4,Initiate Low Application Check,2014/11/15 06:02:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
4,Check Medical History,2014/11/15 23:38:00.833,-1.0,-1.0,-1.0,79980.0,Anne,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Anne,check_medical
4,Check Insurance History,2014/11/16 03:46:00.833,538.0,-1.0,-1.0,38760.0,Marc,<NO_DESC>,none,check,insurance,check_insurance_Marc_none,check_insurance
4,Send Notification,2014/11/17 01:01:00.833,-1.0,-1.0,29.0,0.0,SYSTEM,accept,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_accept,note
4,Receive Questionnaire,2014/11/22 22:35:00.833,-1.0,9.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,question,<NO_DESC>,question_SYSTEM,question
4,Archive,2014/11/22 22:49:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
5,Registration,2014/12/24 09:31:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
5,Basic Check,2014/12/24 09:34:00.833,-1.0,-1.0,-1.0,120.0,Bart,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Bart,check_basic
5,Send Notification,2014/12/24 10:49:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
5,Archive,2014/12/24 13:45:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
6,Registration,2014/12/11 19:01:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
6,Basic Check,2014/12/11 19:14:00.833,-1.0,-1.0,-1.0,0.0,Jenny,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Jenny,check_basic
6,Initiate High Application Check,2014/12/11 21:14:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,high,check_high_SYSTEM,check_high
6,Check Insurance History,2014/12/12 00:14:00.833,394.0,-1.0,-1.0,44820.0,Jenny,<NO_DESC>,none,check,insurance,check_insurance_Jenny_none,check_insurance
6,Check Medical History,2014/12/12 09:23:00.833,-1.0,-1.0,-1.0,81780.0,Bob,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Bob,check_medical
6,Check Hospital Records,2014/12/14 01:35:00.833,-1.0,-1.0,-1.0,374160.0,Anne,<NO_DESC>,<NO_DESC>,check,hospital,check_hospital_Anne,check_hospital
6,Send Notification,2014/12/18 13:23:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
6,Archive,2014/12/18 15:19:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
7,Registration,2014/10/13 06:57:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
7,Basic Check,2014/10/13 07:10:00.833,-1.0,-1.0,-1.0,120.0,Sarah,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Sarah,check_basic
7,Initiate High Application Check,2014/10/13 11:12:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,high,check_high_SYSTEM,check_high
7,Check Hospital Records,2014/10/13 12:12:00.833,-1.0,-1.0,-1.0,218160.0,Anne,<NO_DESC>,<NO_DESC>,check,hospital,check_hospital_Anne,check_hospital
7,Check Medical History,2014/10/13 18:36:00.833,-1.0,-1.0,-1.0,137340.0,Tom,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Tom,check_medical
7,Check Insurance History,2014/10/14 03:18:00.833,449.0,-1.0,-1.0,83820.0,Sarah,<NO_DESC>,none,check,insurance,check_insurance_Sarah_none,check_insurance
7,Send Notification,2014/10/16 04:00:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
7,Archive,2014/10/16 05:43:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
8,Registration,2014/09/29 14:51:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
8,Basic Check,2014/09/29 15:04:00.833,-1.0,-1.0,-1.0,0.0,Mike,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Mike,check_basic
8,Send Notification,2014/09/29 18:15:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
8,Archive,2014/09/29 19:56:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
9,Registration,2014/12/17 12:59:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
9,Basic Check,2014/12/17 13:11:00.833,-1.0,-1.0,-1.0,0.0,Sarah,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Sarah,check_basic
9,Initiate Low Application Check,2014/12/17 15:11:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
9,Check Medical History,2014/12/18 00:46:00.833,-1.0,-1.0,-1.0,107100.0,Tom,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Tom,check_medical
9,Check Insurance History,2014/12/18 07:30:00.833,241.0,-1.0,-1.0,91080.0,Mike,<NO_DESC>,none,check,insurance,check_insurance_Mike_none,check_insurance
9,Send Notification,2014/12/19 14:17:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
9,Archive,2014/12/19 16:03:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
10,Registration,2014/06/12 09:09:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
10,Basic Check,2014/06/12 09:21:00.833,-1.0,-1.0,-1.0,120.0,Mike,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Mike,check_basic
10,Initiate High Application Check,2014/06/12 11:23:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,high,check_high_SYSTEM,check_high
10,Check Insurance History,2014/06/12 13:23:00.833,927.0,-1.0,-1.0,65640.0,Sarah,<NO_DESC>,none,check,insurance,check_insurance_Sarah_none,check_insurance
10,Check Medical History,2014/06/13 00:16:00.833,-1.0,-1.0,-1.0,62760.0,Tom,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Tom,check_medical
10,Check Hospital Records,2014/06/15 10:55:00.833,-1.0,-1.0,-1.0,410820.0,Bob,<NO_DESC>,<NO_DESC>,check,hospital,check_hospital_Bob,check_hospital
10,Send Notification,2014/06/20 09:40:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
10,Archive,2014/06/20 12:03:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
11,Registration,2014/10/12 12:50:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
11,Basic Check,2014/10/12 13:02:00.833,-1.0,-1.0,-1.0,60.0,Mike,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Mike,check_basic
11,Send Notification,2014/10/12 16:16:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
11,Archive,2014/10/12 18:26:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
12,Registration,2014/11/24 14:08:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
12,Basic Check,2014/11/24 14:17:00.833,-1.0,-1.0,-1.0,180.0,Sarah,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Sarah,check_basic
12,Initiate Low Application Check,2014/11/24 18:20:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
12,Check Insurance History,2014/11/24 23:24:00.833,450.0,-1.0,-1.0,73740.0,Sarah,<NO_DESC>,none,check,insurance,check_insurance_Sarah_none,check_insurance
12,Check Medical History,2014/11/25 05:56:00.833,-1.0,-1.0,-1.0,92700.0,Tom,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Tom,check_medical
12,Send Notification,2014/11/26 11:38:00.833,-1.0,-1.0,16.0,0.0,SYSTEM,accept,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_accept,note
12,Receive Questionnaire,2014/12/02 17:13:00.833,-1.0,8.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,question,<NO_DESC>,question_SYSTEM,question
12,Archive,2014/12/02 18:28:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
13,Registration,2014/08/27 02:10:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
13,Basic Check,2014/08/27 02:17:00.833,-1.0,-1.0,-1.0,180.0,Sarah,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Sarah,check_basic
13,Initiate Low Application Check,2014/08/27 05:20:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
13,Check Insurance History,2014/08/27 23:07:00.833,564.0,-1.0,-1.0,62040.0,Marc,<NO_DESC>,none,check,insurance,check_insurance_Marc_none,check_insurance
13,Check Medical History,2014/08/29 11:38:00.833,-1.0,-1.0,-1.0,106260.0,Bob,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Bob,check_medical
13,Send Notification,2014/08/30 20:26:00.833,-1.0,-1.0,116.0,0.0,SYSTEM,accept,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_accept,note
13,Archive,2014/09/29 21:27:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
14,Registration,2014/03/11 06:15:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
14,Basic Check,2014/03/11 06:20:00.833,-1.0,-1.0,-1.0,180.0,Bart,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Bart,check_basic
14,Initiate Low Application Check,2014/03/11 09:23:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
14,Check Medical History,2014/03/11 23:19:00.833,-1.0,-1.0,-1.0,135600.0,Tom,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Tom,check_medical
14,Check Insurance History,2014/03/11 23:28:00.833,565.0,-1.0,-1.0,32940.0,Marc,<NO_DESC>,none,check,insurance,check_insurance_Marc_none,check_insurance
14,Send Notification,2014/03/13 16:17:00.833,-1.0,-1.0,45.0,0.0,SYSTEM,accept,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_accept,note
14,Receive Questionnaire,2014/03/19 08:18:00.833,-1.0,8.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,question,<NO_DESC>,question_SYSTEM,question
14,Archive,2014/03/19 09:18:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
15,Registration,2014/11/26 17:07:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
15,Basic Check,2014/11/26 17:10:00.833,-1.0,-1.0,-1.0,120.0,Pete,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Pete,check_basic
15,Initiate Low Application Check,2014/11/26 21:12:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
15,Check Medical History,2014/11/27 16:14:00.833,-1.0,-1.0,-1.0,50340.0,Anne,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Anne,check_medical
15,Check Insurance History,2014/11/27 22:18:00.833,367.0,-1.0,-1.0,80400.0,Marc,<NO_DESC>,none,check,insurance,check_insurance_Marc_none,check_insurance
15,Send Notification,2014/11/28 23:35:00.833,-1.0,-1.0,11.0,0.0,SYSTEM,accept,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_accept,note
15,Receive Questionnaire,2014/12/01 20:39:00.833,-1.0,8.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,question,<NO_DESC>,question_SYSTEM,question
15,Archive,2014/12/01 21:17:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
16,Registration,2014/01/14 07:39:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
16,Basic Check,2014/01/14 07:57:00.833,-1.0,-1.0,-1.0,120.0,Bart,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Bart,check_basic
16,Initiate Low Application Check,2014/01/14 10:59:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
16,Check Insurance History,2014/01/14 18:02:00.833,624.0,-1.0,-1.0,80520.0,Sarah,<NO_DESC>,none,check,insurance,check_insurance_Sarah_none,check_insurance
16,Check Medical History,2014/01/15 02:24:00.833,-1.0,-1.0,-1.0,72000.0,Tom,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Tom,check_medical
16,Send Notification,2014/01/16 03:00:00.833,-1.0,-1.0,42.0,0.0,SYSTEM,accept,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_accept,note
16,Receive Questionnaire,2014/01/22 12:59:00.833,-1.0,9.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,question,<NO_DESC>,question_SYSTEM,question
16,Archive,2014/01/22 13:55:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
17,Registration,2014/01/19 15:19:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
17,Basic Check,2014/01/19 15:27:00.833,-1.0,-1.0,-1.0,120.0,Mike,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Mike,check_basic
17,Initiate Low Application Check,2014/01/19 17:29:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
17,Check Insurance History,2014/01/19 22:53:00.833,244.0,-1.0,-1.0,79980.0,Marc,<NO_DESC>,none,check,insurance,check_insurance_Marc_none,check_insurance
17,Check Medical History,2014/01/20 07:53:00.833,-1.0,-1.0,-1.0,68700.0,Bob,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Bob,check_medical
17,Send Notification,2014/01/21 06:41:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
17,Archive,2014/01/21 08:22:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
18,Registration,2014/10/01 11:24:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
18,Basic Check,2014/10/01 11:34:00.833,-1.0,-1.0,-1.0,180.0,Sarah,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Sarah,check_basic
18,Initiate Low Application Check,2014/10/01 15:37:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
18,Check Medical History,2014/10/01 18:14:00.833,-1.0,-1.0,-1.0,94440.0,Tom,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Tom,check_medical
18,Check Insurance History,2014/10/02 22:42:00.833,920.0,-1.0,-1.0,85440.0,Marc,<NO_DESC>,none,check,insurance,check_insurance_Marc_none,check_insurance
18,Send Notification,2014/10/04 01:03:00.833,-1.0,-1.0,37.0,0.0,SYSTEM,accept,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_accept,note
18,Receive Questionnaire,2014/10/06 04:02:00.833,-1.0,7.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,question,<NO_DESC>,question_SYSTEM,question
18,Archive,2014/10/06 04:34:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
19,Registration,2014/06/13 20:10:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
19,Basic Check,2014/06/13 20:17:00.833,-1.0,-1.0,-1.0,240.0,Pete,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Pete,check_basic
19,Initiate Low Application Check,2014/06/14 00:21:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
19,Check Insurance History,2014/06/14 07:26:00.833,205.0,-1.0,-1.0,20340.0,Jenny,<NO_DESC>,none,check,insurance,check_insurance_Jenny_none,check_insurance
19,Check Medical History,2014/06/14 21:19:00.833,-1.0,-1.0,-1.0,68760.0,Anne,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Anne,check_medical
19,Send Notification,2014/06/15 20:17:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
19,Archive,2014/06/15 21:48:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
20,Registration,2014/01/31 13:56:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
20,Initiate Low Application Check,2014/01/31 15:56:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
20,Check Medical History,2014/02/01 01:08:00.833,-1.0,-1.0,-1.0,99960.0,Anne,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Anne,check_medical
20,Check Insurance History,2014/02/02 14:45:00.833,654.0,-1.0,-1.0,82980.0,Jenny,<NO_DESC>,none,check,insurance,check_insurance_Jenny_none,check_insurance
20,Send Notification,2014/02/03 16:45:00.833,-1.0,-1.0,21.0,0.0,SYSTEM,accept,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_accept,note
20,Receive Questionnaire,2014/02/11 03:32:00.833,-1.0,7.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,question,<NO_DESC>,question_SYSTEM,question
20,Archive,2014/02/11 05:13:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
21,Registration,2014/09/01 05:58:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
21,Basic Check,2014/09/01 06:09:00.833,-1.0,-1.0,-1.0,120.0,Jenny,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Jenny,check_basic
21,Send Notification,2014/09/01 08:55:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,reject,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_reject,note
21,Archive,2014/09/01 10:31:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,archive,<NO_DESC>,archive_SYSTEM,archive
22,Registration,2014/06/12 08:14:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,register,<NO_DESC>,register_SYSTEM,register
22,Basic Check,2014/06/12 08:30:00.833,-1.0,-1.0,-1.0,120.0,Sarah,<NO_DESC>,<NO_DESC>,check,basic,check_basic_Sarah,check_basic
22,Initiate Low Application Check,2014/06/12 11:32:00.833,-1.0,-1.0,-1.0,0.0,SYSTEM,<NO_DESC>,<NO_DESC>,check,low,check_low_SYSTEM,check_low
22,Check Medical History,2014/06/12 19:39:00.833,-1.0,-1.0,-1.0,86760.0,Anne,<NO_DESC>,<NO_DESC>,check,medical,check_medical_Anne,check_medical
22,Check Insurance History,2014/06/14 10:36:00.833,571.0,-1.0,-1.0,96660.0,Sarah,<NO_DESC>,none,check,insurance,check_insurance_Sarah_none,check_insurance
22,Send Notification,2014/06/15 16:46:00.833,-1.0,-1.0,90.0,0.0,SYSTEM,accept,<NO_DESC>,note,<NO_DESC>,note_SYSTEM_accept,note
