concept:name,case:concept:name,case:AMOUNT_REQ,StartTime,StartRes,CompleteTime,CompleteRes,Duration,activity_pre,activity,activity_verb,activity_dec,pre_activity,rank_result,result,TimeDiff
O_SENT,173691,5000,2011-10-03 16:56:19,11120,2011-10-03 16:56:19,11120,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_SENT_BACK,173691,5000,2011-10-10 10:14:43,11049,2011-10-10 10:14:43,11049,0.0,o,return,return,<NO_DESC>,o_return,2,accept,580704.0
O_ACCEPTED,173691,5000,2011-10-10 14:17:26,10809,2011-10-10 14:17:26,10809,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,14563.0
O_SELECTED,173694,7000,2011-10-03 13:40:14,11201,2011-10-03 13:40:14,11201,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173694,7000,2011-10-03 13:40:15,11201,2011-10-03 13:40:15,11201,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173694,7000,2011-10-03 13:40:15,11201,2011-10-03 13:40:15,11201,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_CANCELLED,173694,7000,2011-10-03 13:44:17,11201,2011-10-03 13:44:17,11201,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,242.0
O_SELECTED,173694,7000,2011-10-03 13:44:17,11201,2011-10-03 13:44:17,11201,0.0,o,select,select,<NO_DESC>,o_select,2,accept,242.0
O_CREATED,173694,7000,2011-10-03 13:44:19,11201,2011-10-03 13:44:19,11201,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,173694,7000,2011-10-03 13:44:19,11201,2011-10-03 13:44:19,11201,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_CANCELLED,173694,7000,2011-10-17 19:43:53,10861,2011-10-17 19:43:53,10861,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,1231174.0
O_SELECTED,173694,7000,2011-10-17 19:43:53,10861,2011-10-17 19:43:53,10861,0.0,o,select,select,<NO_DESC>,o_select,2,accept,1231174.0
O_CREATED,173694,7000,2011-10-17 19:43:55,10861,2011-10-17 19:43:55,10861,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,173694,7000,2011-10-17 19:43:55,10861,2011-10-17 19:43:55,10861,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_SENT_BACK,173694,7000,2011-11-02 09:15:16,11049,2011-11-02 09:15:16,11049,0.0,o,return,return,<NO_DESC>,o_return,2,accept,1344681.0
O_ACCEPTED,173694,7000,2011-11-04 16:04:52,10609,2011-11-04 16:04:52,10609,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,197376.0
O_SELECTED,173718,15000,2011-10-01 10:44:40,10862,2011-10-01 10:44:40,10862,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173718,15000,2011-10-01 10:44:42,10862,2011-10-01 10:44:42,10862,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,173718,15000,2011-10-01 10:44:42,10862,2011-10-01 10:44:42,10862,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_CANCELLED,173718,15000,2011-10-01 10:46:52,10862,2011-10-01 10:46:52,10862,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,130.0
O_SELECTED,173718,15000,2011-10-01 10:46:52,10862,2011-10-01 10:46:52,10862,0.0,o,select,select,<NO_DESC>,o_select,2,accept,130.0
O_CREATED,173718,15000,2011-10-01 10:46:54,10862,2011-10-01 10:46:54,10862,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,173718,15000,2011-10-01 10:46:54,10862,2011-10-01 10:46:54,10862,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_SENT_BACK,173718,15000,2011-10-10 10:55:04,11049,2011-10-10 10:55:04,11049,0.0,o,return,return,<NO_DESC>,o_return,2,accept,778090.0
O_ACCEPTED,173718,15000,2011-10-27 09:17:53,10972,2011-10-27 09:17:53,10972,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,1462969.0
O_SELECTED,173730,15000,2011-10-01 15:40:08,11203,2011-10-01 15:40:08,11203,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173730,15000,2011-10-01 15:40:09,11203,2011-10-01 15:40:09,11203,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173730,15000,2011-10-01 15:40:10,11203,2011-10-01 15:40:10,11203,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,173730,15000,2011-10-14 10:21:08,11029,2011-10-14 10:21:08,11029,0.0,o,return,return,<NO_DESC>,o_return,2,accept,1104058.0
O_ACCEPTED,173730,15000,2011-10-21 09:08:14,10972,2011-10-21 09:08:14,10972,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,600426.0
O_SELECTED,173736,15000,2011-10-01 16:05:26,11203,2011-10-01 16:05:26,11203,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173736,15000,2011-10-01 16:05:27,11203,2011-10-01 16:05:27,11203,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173736,15000,2011-10-01 16:05:27,11203,2011-10-01 16:05:27,11203,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_CANCELLED,173736,15000,2011-10-04 12:59:20,10982,2011-10-04 12:59:20,10982,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,248033.0
O_SELECTED,173736,15000,2011-10-04 12:59:20,10982,2011-10-04 12:59:20,10982,0.0,o,select,select,<NO_DESC>,o_select,2,accept,248033.0
O_CREATED,173736,15000,2011-10-04 12:59:21,10982,2011-10-04 12:59:21,10982,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173736,15000,2011-10-04 12:59:21,10982,2011-10-04 12:59:21,10982,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,173736,15000,2011-10-10 13:33:58,10899,2011-10-10 13:33:58,10899,0.0,o,return,return,<NO_DESC>,o_return,2,accept,520477.0
O_CANCELLED,173736,15000,2011-10-13 11:36:52,11169,2011-10-13 11:36:52,11169,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,252174.0
O_SELECTED,173736,15000,2011-10-13 11:36:52,11169,2011-10-13 11:36:52,11169,0.0,o,select,select,<NO_DESC>,o_select,2,accept,252174.0
O_CREATED,173736,15000,2011-10-13 11:36:53,11169,2011-10-13 11:36:53,11169,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173736,15000,2011-10-13 11:36:53,11169,2011-10-13 11:36:53,11169,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,173736,15000,2011-10-18 10:20:36,11029,2011-10-18 10:20:36,11029,0.0,o,return,return,<NO_DESC>,o_return,2,accept,427423.0
O_ACCEPTED,173736,15000,2011-10-18 12:01:28,10809,2011-10-18 12:01:28,10809,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,6052.0
O_SELECTED,173739,10000,2011-10-01 15:56:39,11000,2011-10-01 15:56:39,11000,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173739,10000,2011-10-01 15:56:40,11000,2011-10-01 15:56:40,11000,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173739,10000,2011-10-01 15:56:40,11000,2011-10-01 15:56:40,11000,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,173739,10000,2011-10-11 10:19:12,11029,2011-10-11 10:19:12,11029,0.0,o,return,return,<NO_DESC>,o_return,2,accept,843752.0
O_ACCEPTED,173739,10000,2011-10-14 16:22:47,10629,2011-10-14 16:22:47,10629,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,281015.0
O_SELECTED,173751,10000,2011-10-01 16:49:59,11111,2011-10-01 16:49:59,11111,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173751,10000,2011-10-01 16:50:00,11111,2011-10-01 16:50:00,11111,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173751,10000,2011-10-01 16:50:01,11111,2011-10-01 16:50:01,11111,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,173751,10000,2011-10-07 12:40:18,10899,2011-10-07 12:40:18,10899,0.0,o,return,return,<NO_DESC>,o_return,2,accept,503417.0
O_ACCEPTED,173751,10000,2011-10-11 10:39:30,10138,2011-10-11 10:39:30,10138,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,338352.0
O_SELECTED,173760,32000,2011-10-01 16:01:43,11019,2011-10-01 16:01:43,11019,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173760,32000,2011-10-01 16:01:44,11019,2011-10-01 16:01:44,11019,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173760,32000,2011-10-01 16:01:44,11019,2011-10-01 16:01:44,11019,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,173760,32000,2011-10-11 11:01:37,11049,2011-10-11 11:01:37,11049,0.0,o,return,return,<NO_DESC>,o_return,2,accept,845993.0
O_ACCEPTED,173760,32000,2011-10-14 15:41:03,10972,2011-10-14 15:41:03,10972,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,275966.0
O_SELECTED,173784,5000,2011-10-04 17:37:27,11122,2011-10-04 17:37:27,11122,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173784,5000,2011-10-04 17:37:28,11122,2011-10-04 17:37:28,11122,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173784,5000,2011-10-04 17:37:28,11122,2011-10-04 17:37:28,11122,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,173784,5000,2011-10-17 11:29:14,11049,2011-10-17 11:29:14,11049,0.0,o,return,return,<NO_DESC>,o_return,2,accept,1101106.0
O_ACCEPTED,173784,5000,2011-11-15 12:50:28,10609,2011-11-15 12:50:28,10609,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,2510474.0
O_SELECTED,173790,5000,2011-10-03 09:26:10,11120,2011-10-03 09:26:10,11120,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173790,5000,2011-10-03 09:26:11,11120,2011-10-03 09:26:11,11120,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173790,5000,2011-10-03 09:26:11,11120,2011-10-03 09:26:11,11120,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,173790,5000,2011-10-07 12:37:07,10789,2011-10-07 12:37:07,10789,0.0,o,return,return,<NO_DESC>,o_return,2,accept,357056.0
O_ACCEPTED,173790,5000,2011-10-10 14:22:35,10609,2011-10-10 14:22:35,10609,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,265528.0
O_SELECTED,173793,6000,2011-10-03 14:53:19,11120,2011-10-03 14:53:19,11120,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173793,6000,2011-10-03 14:53:20,11120,2011-10-03 14:53:20,11120,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173793,6000,2011-10-03 14:53:20,11120,2011-10-03 14:53:20,11120,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,173793,6000,2011-10-14 10:08:48,11029,2011-10-14 10:08:48,11029,0.0,o,return,return,<NO_DESC>,o_return,2,accept,933328.0
O_ACCEPTED,173793,6000,2011-10-18 11:25:03,10609,2011-10-18 11:25:03,10609,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,350175.0
O_SELECTED,173844,15500,2011-10-03 13:19:45,11201,2011-10-03 13:19:45,11201,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173844,15500,2011-10-03 13:19:47,11201,2011-10-03 13:19:47,11201,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,173844,15500,2011-10-03 13:19:47,11201,2011-10-03 13:19:47,11201,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_SENT_BACK,173844,15500,2011-10-10 10:17:48,11049,2011-10-10 10:17:48,11049,0.0,o,return,return,<NO_DESC>,o_return,2,accept,593881.0
O_ACCEPTED,173844,15500,2011-10-11 14:57:01,10629,2011-10-11 14:57:01,10629,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,103153.0
O_SELECTED,173880,50000,2011-10-03 14:00:45,11201,2011-10-03 14:00:45,11201,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173880,50000,2011-10-03 14:00:46,11201,2011-10-03 14:00:46,11201,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173880,50000,2011-10-03 14:00:46,11201,2011-10-03 14:00:46,11201,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,173880,50000,2011-10-24 11:28:26,11029,2011-10-24 11:28:26,11029,0.0,o,return,return,<NO_DESC>,o_return,2,accept,1805260.0
O_CANCELLED,173880,50000,2011-10-28 16:27:23,11169,2011-10-28 16:27:23,11169,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,363537.0
O_SELECTED,173880,50000,2011-10-28 16:27:23,11169,2011-10-28 16:27:23,11169,0.0,o,select,select,<NO_DESC>,o_select,2,accept,363537.0
O_CREATED,173880,50000,2011-10-28 16:27:25,11169,2011-10-28 16:27:25,11169,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,173880,50000,2011-10-28 16:27:25,11169,2011-10-28 16:27:25,11169,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_SENT_BACK,173880,50000,2011-11-04 11:46:11,10789,2011-11-04 11:46:11,10789,0.0,o,return,return,<NO_DESC>,o_return,2,accept,587926.0
O_ACCEPTED,173880,50000,2011-11-04 13:09:38,10138,2011-11-04 13:09:38,10138,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,5007.0
O_SELECTED,173913,5500,2011-10-03 10:43:47,11202,2011-10-03 10:43:47,11202,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173913,5500,2011-10-03 10:43:51,11202,2011-10-03 10:43:51,11202,0.0,o,create,create,<NO_DESC>,o_create,3,accept,4.0
O_SENT,173913,5500,2011-10-03 10:43:51,11202,2011-10-03 10:43:51,11202,0.0,o,send,send,<NO_DESC>,o_send,3,accept,4.0
O_SENT_BACK,173913,5500,2011-10-10 13:51:21,10899,2011-10-10 13:51:21,10899,0.0,o,return,return,<NO_DESC>,o_return,2,accept,616050.0
O_ACCEPTED,173913,5500,2011-10-12 16:00:58,10809,2011-10-12 16:00:58,10809,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,180577.0
O_SELECTED,173928,33000,2011-10-03 15:29:05,11180,2011-10-03 15:29:05,11180,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173928,33000,2011-10-03 15:29:06,11180,2011-10-03 15:29:06,11180,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173928,33000,2011-10-03 15:29:06,11180,2011-10-03 15:29:06,11180,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_CANCELLED,173928,33000,2011-10-03 15:30:07,11180,2011-10-03 15:30:07,11180,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,61.0
O_SELECTED,173928,33000,2011-10-03 15:30:07,11180,2011-10-03 15:30:07,11180,0.0,o,select,select,<NO_DESC>,o_select,2,accept,61.0
O_CREATED,173928,33000,2011-10-03 15:30:09,11180,2011-10-03 15:30:09,11180,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,173928,33000,2011-10-03 15:30:09,11180,2011-10-03 15:30:09,11180,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_SENT_BACK,173928,33000,2011-10-26 10:23:27,11029,2011-10-26 10:23:27,11029,0.0,o,return,return,<NO_DESC>,o_return,2,accept,1968798.0
O_ACCEPTED,173928,33000,2011-11-29 09:27:25,10972,2011-11-29 09:27:25,10972,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,2934238.0
O_SELECTED,173940,7000,2011-10-03 18:51:13,11119,2011-10-03 18:51:13,11119,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173940,7000,2011-10-03 18:51:14,11119,2011-10-03 18:51:14,11119,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,173940,7000,2011-10-03 18:51:14,11119,2011-10-03 18:51:14,11119,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,173940,7000,2011-10-10 13:48:24,10899,2011-10-10 13:48:24,10899,0.0,o,return,return,<NO_DESC>,o_return,2,accept,586630.0
O_ACCEPTED,173940,7000,2011-10-14 08:30:21,10138,2011-10-14 08:30:21,10138,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,326517.0
O_SELECTED,173955,10000,2011-10-04 09:20:00,10971,2011-10-04 09:20:00,10971,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173955,10000,2011-10-04 09:20:50,10971,2011-10-04 09:20:50,10971,0.0,o,create,create,<NO_DESC>,o_create,3,accept,50.0
O_SENT,173955,10000,2011-10-04 09:20:50,10971,2011-10-04 09:20:50,10971,0.0,o,send,send,<NO_DESC>,o_send,3,accept,50.0
O_SENT_BACK,173955,10000,2011-10-17 10:19:48,11029,2011-10-17 10:19:48,11029,0.0,o,return,return,<NO_DESC>,o_return,2,accept,1126738.0
O_ACCEPTED,173955,10000,2011-11-29 15:05:21,10972,2011-11-29 15:05:21,10972,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,3732333.0
O_SELECTED,173979,30000,2011-10-03 11:35:26,10913,2011-10-03 11:35:26,10913,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,173979,30000,2011-10-03 11:35:28,10913,2011-10-03 11:35:28,10913,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,173979,30000,2011-10-03 11:35:28,10913,2011-10-03 11:35:28,10913,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_SENT_BACK,173979,30000,2011-10-10 10:41:34,11049,2011-10-10 10:41:34,11049,0.0,o,return,return,<NO_DESC>,o_return,2,accept,601566.0
O_ACCEPTED,173979,30000,2011-10-11 14:01:47,10972,2011-10-11 14:01:47,10972,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,98413.0
O_SELECTED,174036,15000,2011-10-03 17:43:36,11119,2011-10-03 17:43:36,11119,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,174036,15000,2011-10-03 17:43:38,11119,2011-10-03 17:43:38,11119,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,174036,15000,2011-10-03 17:43:38,11119,2011-10-03 17:43:38,11119,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_SENT_BACK,174036,15000,2011-10-13 11:34:19,11049,2011-10-13 11:34:19,11049,0.0,o,return,return,<NO_DESC>,o_return,2,accept,841841.0
O_CANCELLED,174036,15000,2011-10-17 11:25:56,11009,2011-10-17 11:25:56,11009,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,345097.0
O_SELECTED,174036,15000,2011-10-17 11:25:56,11009,2011-10-17 11:25:56,11009,0.0,o,select,select,<NO_DESC>,o_select,2,accept,345097.0
O_CREATED,174036,15000,2011-10-17 11:25:57,11009,2011-10-17 11:25:57,11009,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,174036,15000,2011-10-17 11:25:57,11009,2011-10-17 11:25:57,11009,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_ACCEPTED,174036,15000,2011-10-18 11:06:51,10809,2011-10-18 11:06:51,10809,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,85254.0
O_SELECTED,174039,26000,2011-10-10 12:12:06,11189,2011-10-10 12:12:06,11189,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,174039,26000,2011-10-10 12:12:07,11189,2011-10-10 12:12:07,11189,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,174039,26000,2011-10-10 12:12:07,11189,2011-10-10 12:12:07,11189,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,174039,26000,2011-10-21 09:33:53,11049,2011-10-21 09:33:53,11049,0.0,o,return,return,<NO_DESC>,o_return,2,accept,940906.0
O_ACCEPTED,174039,26000,2011-10-27 10:01:32,10972,2011-10-27 10:01:32,10972,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,520059.0
O_SELECTED,174042,7500,2011-10-03 12:27:15,11202,2011-10-03 12:27:15,11202,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,174042,7500,2011-10-03 12:27:16,11202,2011-10-03 12:27:16,11202,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,174042,7500,2011-10-03 12:27:16,11202,2011-10-03 12:27:16,11202,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_SENT_BACK,174042,7500,2011-10-06 09:54:35,11029,2011-10-06 09:54:35,11029,0.0,o,return,return,<NO_DESC>,o_return,2,accept,250039.0
O_ACCEPTED,174042,7500,2011-10-11 16:43:10,10609,2011-10-11 16:43:10,10609,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,456515.0
O_SELECTED,174045,25000,2011-10-03 12:18:43,10809,2011-10-03 12:18:43,10809,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,174045,25000,2011-10-03 12:19:31,10809,2011-10-03 12:19:31,10809,0.0,o,create,create,<NO_DESC>,o_create,3,accept,48.0
O_SENT,174045,25000,2011-10-03 12:19:31,10809,2011-10-03 12:19:31,10809,0.0,o,send,send,<NO_DESC>,o_send,3,accept,48.0
O_SENT_BACK,174045,25000,2011-10-03 12:24:38,10809,2011-10-03 12:24:38,10809,0.0,o,return,return,<NO_DESC>,o_return,2,accept,307.0
O_ACCEPTED,174045,25000,2011-10-18 10:10:34,10809,2011-10-18 10:10:34,10809,0.0,o,accept,accept,<NO_DESC>,o_accept,1,accept,1287956.0
O_SELECTED,174060,6000,2011-10-03 14:28:02,11201,2011-10-03 14:28:02,11201,0.0,o,select,select,<NO_DESC>,o_select,2,accept,0.0
O_CREATED,174060,6000,2011-10-03 14:28:04,11201,2011-10-03 14:28:04,11201,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,174060,6000,2011-10-03 14:28:04,11201,2011-10-03 14:28:04,11201,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_CANCELLED,174060,6000,2011-10-03 14:48:36,11202,2011-10-03 14:48:36,11202,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,1232.0
O_SELECTED,174060,6000,2011-10-03 14:48:36,11202,2011-10-03 14:48:36,11202,0.0,o,select,select,<NO_DESC>,o_select,2,accept,1232.0
O_CREATED,174060,6000,2011-10-03 14:48:37,11202,2011-10-03 14:48:37,11202,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,174060,6000,2011-10-03 14:48:37,11202,2011-10-03 14:48:37,11202,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_CANCELLED,174060,6000,2011-10-03 14:52:32,11202,2011-10-03 14:52:32,11202,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,235.0
O_SELECTED,174060,6000,2011-10-03 14:52:32,11202,2011-10-03 14:52:32,11202,0.0,o,select,select,<NO_DESC>,o_select,2,accept,235.0
O_CREATED,174060,6000,2011-10-03 14:52:33,11202,2011-10-03 14:52:33,11202,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,174060,6000,2011-10-03 14:52:33,11202,2011-10-03 14:52:33,11202,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_CANCELLED,174060,6000,2011-10-27 20:09:04,11202,2011-10-27 20:09:04,11202,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,2092591.0
O_SELECTED,174060,6000,2011-10-27 20:09:04,11202,2011-10-27 20:09:04,11202,0.0,o,select,select,<NO_DESC>,o_select,2,accept,2092591.0
O_CREATED,174060,6000,2011-10-27 20:09:06,11202,2011-10-27 20:09:06,11202,0.0,o,create,create,<NO_DESC>,o_create,3,accept,2.0
O_SENT,174060,6000,2011-10-27 20:09:06,11202,2011-10-27 20:09:06,11202,0.0,o,send,send,<NO_DESC>,o_send,3,accept,2.0
O_CANCELLED,174060,6000,2011-10-27 20:13:10,11202,2011-10-27 20:13:10,11202,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,244.0
O_SELECTED,174060,6000,2011-10-27 20:13:10,11202,2011-10-27 20:13:10,11202,0.0,o,select,select,<NO_DESC>,o_select,2,accept,244.0
O_CREATED,174060,6000,2011-10-27 20:13:11,11202,2011-10-27 20:13:11,11202,0.0,o,create,create,<NO_DESC>,o_create,3,accept,1.0
O_SENT,174060,6000,2011-10-27 20:13:12,11202,2011-10-27 20:13:12,11202,0.0,o,send,send,<NO_DESC>,o_send,3,accept,1.0
O_CANCELLED,174060,6000,2011-11-19 12:29:09,10913,2011-11-19 12:29:09,10913,0.0,o,cancel,cancel,<NO_DESC>,o_cancel,1,accept,1959357.0
O_SELECTED,174060,6000,2011-11-19 12:29:09,10913,2011-11-19 12:29:09,10913,0.0,o,select,select,<NO_DESC>,o_select,2,accept,1959357.0
